Operation{accountId=3226, type=DEPOSIT, value=7554}
Operation{accountId=8986, type=DEPOSIT, value=4688}
Operation{accountId=2762, type=DEPOSIT, value=345}
Operation{accountId=5208, type=DEPOSIT, value=4150}
Operation{accountId=3260, type=DEPOSIT, value=654}
Operation{accountId=3358, type=DEPOSIT, value=137}
Operation{accountId=1265, type=DEPOSIT, value=4837}
Operation{accountId=262, type=DEPOSIT, value=6513}
Operation{accountId=4005, type=DEPOSIT, value=6338}
Operation{accountId=7340, type=DEPOSIT, value=1519}
Operation{accountId=5849, type=DEPOSIT, value=4513}
Operation{accountId=6109, type=DEPOSIT, value=3498}
Operation{accountId=3534, type=DEPOSIT, value=7698}
Operation{accountId=5806, type=DEPOSIT, value=3579}
Operation{accountId=9551, type=DEPOSIT, value=7265}
Operation{accountId=5478, type=DEPOSIT, value=1973}
Operation{accountId=9211, type=DEPOSIT, value=7236}
Operation{accountId=7801, type=DEPOSIT, value=1627}
Operation{accountId=1230, type=DEPOSIT, value=9053}
Operation{accountId=5602, type=DEPOSIT, value=3526}
Operation{accountId=7964, type=DEPOSIT, value=7711}
Operation{accountId=2733, type=DEPOSIT, value=8398}
Operation{accountId=9193, type=DEPOSIT, value=3534}
Operation{accountId=6046, type=DEPOSIT, value=3461}
Operation{accountId=1224, type=DEPOSIT, value=3519}
Operation{accountId=4337, type=DEPOSIT, value=7603}
Operation{accountId=9725, type=DEPOSIT, value=8959}
Operation{accountId=1567, type=DEPOSIT, value=5116}
Operation{accountId=5569, type=DEPOSIT, value=4815}
Operation{accountId=5561, type=DEPOSIT, value=9438}
Operation{accountId=2898, type=DEPOSIT, value=4604}
Operation{accountId=3765, type=DEPOSIT, value=4519}
Operation{accountId=804, type=DEPOSIT, value=413}
Operation{accountId=8466, type=DEPOSIT, value=771}
Operation{accountId=3625, type=DEPOSIT, value=549}
Operation{accountId=6041, type=DEPOSIT, value=2754}
Operation{accountId=1032, type=DEPOSIT, value=7033}
Operation{accountId=1298, type=DEPOSIT, value=3032}
Operation{accountId=8412, type=DEPOSIT, value=8268}
Operation{accountId=8256, type=DEPOSIT, value=9423}
Operation{accountId=8604, type=DEPOSIT, value=2373}
Operation{accountId=3610, type=DEPOSIT, value=6071}
Operation{accountId=594, type=DEPOSIT, value=8770}
Operation{accountId=8455, type=DEPOSIT, value=2605}
Operation{accountId=6043, type=DEPOSIT, value=3494}
Operation{accountId=565, type=DEPOSIT, value=6761}
Operation{accountId=6058, type=DEPOSIT, value=333}
Operation{accountId=3126, type=DEPOSIT, value=7953}
Operation{accountId=7593, type=DEPOSIT, value=5585}
Operation{accountId=2296, type=DEPOSIT, value=6091}
Operation{accountId=5293, type=DEPOSIT, value=2005}
Operation{accountId=5376, type=DEPOSIT, value=9472}
Operation{accountId=9044, type=DEPOSIT, value=9262}
Operation{accountId=3026, type=DEPOSIT, value=1228}
Operation{accountId=6398, type=DEPOSIT, value=4546}
Operation{accountId=367, type=DEPOSIT, value=1874}
Operation{accountId=2517, type=DEPOSIT, value=1944}
Operation{accountId=7835, type=DEPOSIT, value=8269}
Operation{accountId=5067, type=DEPOSIT, value=6527}
Operation{accountId=3065, type=DEPOSIT, value=625}
